plant_country,country,typ_11,mw_2018,efficiency_factor,co2_factor,fuel_price,co2_price,av_factor,gen_capacity,mc,mean_demand,sd_demand,min_demand,max_demand
Spain,ES,g2,278.614217,.4133333333333333,.191,20.23,20,.79000002,220.10524,58.185482,29064.064,4626.6533,18179,40693
Spain,ES,g1,3323.769977999999,.3433333333333333,.191,20.23,20,.80000001,2659.0161,70.048546,29064.064,4626.6533,18179,40693
Spain,ES,g4,143.717,.36,.191,20.23,20,.74000001,106.35058,66.805557,29064.064,4626.6533,18179,40693
Spain,ES,o3,219,.35,.27399999,37.130001,20,.81,177.39,121.74286,29064.064,4626.6533,18179,40693
Finland,FI,g2,312.9,.4,.191,20.23,20,.79000002,247.19101,60.125,9792.7422,1634.1708,6347.8999,14062
Finland,FI,n,2821.823000000001,1,.029999999,9,20,.83999997,2370.3313,9.6000004,9792.7422,1634.1708,6347.8999,14062
Finland,FI,c2,1658.5897,.3725,.33700001,8.8900003,20,.76999998,1277.114,41.959732,9792.7422,1634.1708,6347.8999,14062
Finland,FI,o1,624.9999999999993,.355,.27399999,37.130001,20,.80000001,500,120.02817,9792.7422,1634.1708,6347.8999,14062
Finland,FI,res,6762.447920999998,.5771428571428572,0,0,20,.30000001,2028.7345,0,9792.7422,1634.1708,6347.8999,14062
Finland,FI,g1,671.1072,.3433333333333333,.191,20.23,20,.80000001,536.88574,70.048546,9792.7422,1634.1708,6347.8999,14062
Finland,FI,g3,1831.42094,.5439999999999999,.191,20.23,20,.81,1483.4509,44.209557,9792.7422,1634.1708,6347.8999,14062
Finland,FI,o4,30.44,.34,.27399999,37.130001,20,.74000001,22.5256,125.32353,9792.7422,1634.1708,6347.8999,14062
Finland,FI,c1,26.7,.3666666666666666,.38499999,7.112,20,.80000001,21.360001,40.396362,9792.7422,1634.1708,6347.8999,14062
Finland,FI,g4,40.9,.35,.191,20.23,20,.74000001,30.266001,68.714287,9792.7422,1634.1708,6347.8999,14062
Finland,FI,o3,0,.6000000238418579,.27399999,37.130001,20,.81,0,71.016663,9792.7422,1634.1708,6347.8999,14062
Finland,FI,r1,3396.307120000002,1,0,12,20,.5,1698.1536,12,9792.7422,1634.1708,6347.8999,14062
Finland,FI,o2,119,.4133333333333333,.27399999,37.130001,20,.79000002,94.010002,103.08871,9792.7422,1634.1708,6347.8999,14062
France,FR,res,27115.195165,.6781818181818182,0,0,20,.30000001,8134.5591,0,53809.922,11919.481,30630,94492
France,FR,n,62949.127,1,.029999999,9,20,.83999997,52877.266,9.6000004,53809.922,11919.481,30630,94492
France,FR,g2,249.652,.3800000000000001,.191,20.23,20,.79000002,197.22508,63.289471,53809.922,11919.481,30630,94492
France,FR,r1,19690.0755,1,0,12,20,.5,9845.0381,12,53809.922,11919.481,30630,94492
France,FR,o2,0,.3933333333333334,.27399999,37.130001,20,.79000002,0,108.33051,53809.922,11919.481,30630,94492
France,FR,c1,642.5,.3766666666666666,.38499999,7.112,20,.80000001,514,39.323895,53809.922,11919.481,30630,94492
France,FR,g1,2265.340000000001,.38,.191,20.23,20,.80000001,1812.272,63.289471,53809.922,11919.481,30630,94492
France,FR,g3,6154.000000000001,.5499999999999999,.191,20.23,20,.81,4984.7402,43.727272,53809.922,11919.481,30630,94492
France,FR,o1,1689,.3533333333333333,.27399999,37.130001,20,.80000001,1351.2001,120.59435,53809.922,11919.481,30630,94492
France,FR,g4,2.653,.36,.191,20.23,20,.74000001,1.96322,66.805557,53809.922,11919.481,30630,94492
France,FR,o4,247,.34,.27399999,37.130001,20,.74000001,182.78,125.32353,53809.922,11919.481,30630,94492
France,FR,c2,2348,.34,.33700001,8.8900003,20,.76999998,1807.96,45.970589,53809.922,11919.481,30630,94492
Greece,GR,o1,419.6,.3533333333333333,.27399999,37.130001,20,.80000001,335.67999,120.59435,5847.9478,1065.7405,3339.73,9111.6104
Greece,GR,c2,0,.48,.33700001,8.8900003,20,.76999998,0,32.5625,5847.9478,1065.7405,3339.73,9111.6104
Greece,GR,o2,313.35,.4,.27399999,37.130001,20,.79000002,247.54651,106.525,5847.9478,1065.7405,3339.73,9111.6104
Greece,GR,r1,2513.800000000001,1,0,12,20,.5,1256.9,12,5847.9478,1065.7405,3339.73,9111.6104
Greece,GR,g3,5170.382,.59,.191,20.23,20,.81,4188.0093,40.762711,5847.9478,1065.7405,3339.73,9111.6104
Greece,GR,g1,233.362,.38,.191,20.23,20,.80000001,186.68961,63.289471,5847.9478,1065.7405,3339.73,9111.6104
Greece,GR,res,5958.070000000002,.895,0,0,20,.30000001,1787.421,0,5847.9478,1065.7405,3339.73,9111.6104
Greece,GR,g2,0,.44,.191,20.23,20,.79000002,0,54.659088,5847.9478,1065.7405,3339.73,9111.6104
Greece,GR,c1,3912,.36,.38499999,7.112,20,.80000001,3129.6001,41.144444,5847.9478,1065.7405,3339.73,9111.6104
Greece,GR,o4,385.5,.3500000071525574,.27399999,37.130001,20,.74000001,285.26999,121.74286,5847.9478,1065.7405,3339.73,9111.6104
Croatia,HR,g2,0,.44,.191,20.23,20,.79000002,0,54.659088,2074.7915,386.83014,1232,3156
Croatia,HR,r1,2077.74,1,0,12,20,.5,1038.87,12,2074.7915,386.83014,1232,3156
Croatia,HR,o2,554.5,.3866666666666667,.27399999,37.130001,20,.79000002,438.05502,110.19828,2074.7915,386.83014,1232,3156
Croatia,HR,g1,50,.365,.191,20.23,20,.80000001,40,65.890411,2074.7915,386.83014,1232,3156
Croatia,HR,res,951.8099999999999,.6885714285714286,0,0,20,.30000001,285.543,0,2074.7915,386.83014,1232,3156
Croatia,HR,c1,228,.38,.38499999,7.112,20,.80000001,182.40001,38.978947,2074.7915,386.83014,1232,3156
Croatia,HR,g3,689,.5599999999999999,.191,20.23,20,.81,558.09003,42.946426,2074.7915,386.83014,1232,3156
Hungary,HU,o4,1.04,.34,.27399999,37.130001,20,.74000001,.76960003,125.32353,4944.0767,715.48608,3029.8899,6572.3999
Hungary,HU,n,2000,1,.029999999,9,20,.83999997,1680,9.6000004,4944.0767,715.48608,3029.8899,6572.3999
Hungary,HU,g1,610.3966500000001,.365,.191,20.23,20,.80000001,488.31732,65.890411,4944.0767,715.48608,3029.8899,6572.3999
Hungary,HU,c2,0,.315,.33700001,8.8900003,20,.76999998,0,49.619049,4944.0767,715.48608,3029.8899,6572.3999
Hungary,HU,c1,967.9999999999999,.345,.38499999,7.112,20,.80000001,774.40002,42.933334,4944.0767,715.48608,3029.8899,6572.3999
Hungary,HU,r1,41.40000000000001,1,0,12,20,.5,20.700001,12,4944.0767,715.48608,3029.8899,6572.3999
Hungary,HU,o2,14,.36,.27399999,37.130001,20,.79000002,11.06,118.36111,4944.0767,715.48608,3029.8899,6572.3999
Hungary,HU,res,497.8,.5833333333333334,0,0,20,.30000001,149.34001,0,4944.0767,715.48608,3029.8899,6572.3999
Hungary,HU,g4,102.0699999999999,.36,.191,20.23,20,.74000001,75.531799,66.805557,4944.0767,715.48608,3029.8899,6572.3999
Hungary,HU,g3,1670.5966,.6,.191,20.23,20,.81,1353.1832,40.083332,4944.0767,715.48608,3029.8899,6572.3999
Hungary,HU,o1,410,.38,.27399999,37.130001,20,.80000001,328,112.13158,4944.0767,715.48608,3029.8899,6572.3999
Hungary,HU,g2,173.1,.3733333333333333,.191,20.23,20,.79000002,136.74901,64.41964,4944.0767,715.48608,3029.8899,6572.3999
Ireland,IE,c1,0,.29,.38499999,7.112,20,.80000001,0,51.075863,3297.5635,602.41608,2044.6599,4877.7051
Ireland,IE,o1,207,.38,.27399999,37.130001,20,.80000001,165.60001,112.13158,3297.5635,602.41608,2044.6599,4877.7051
Ireland,IE,g4,17.594,.36,.191,20.23,20,.74000001,13.01956,66.805557,3297.5635,602.41608,2044.6599,4877.7051
Ireland,IE,c2,900,.39,.33700001,8.8900003,20,.76999998,693,40.076923,3297.5635,602.41608,2044.6599,4877.7051
Ireland,IE,g2,270,.38,.191,20.23,20,.79000002,213.3,63.289471,3297.5635,602.41608,2044.6599,4877.7051
Ireland,IE,res,3895.315,.66,0,0,20,.30000001,1168.5946,0,3297.5635,602.41608,2044.6599,4877.7051
Ireland,IE,o2,632,.37,.27399999,37.130001,20,.79000002,499.28,115.16216,3297.5635,602.41608,2044.6599,4877.7051
Ireland,IE,g1,798.029,.365,.191,20.23,20,.80000001,638.42322,65.890411,3297.5635,602.41608,2044.6599,4877.7051
Ireland,IE,g3,3506,.542,.191,20.23,20,.81,2839.8601,44.372692,3297.5635,602.41608,2044.6599,4877.7051
Ireland,IE,r1,222.9,1,0,12,20,.5,111.45,12,3297.5635,602.41608,2044.6599,4877.7051
Italy,IT,g1,1790.829999999999,.3433333333333333,.191,20.23,20,.80000001,1432.6641,70.048546,33933.309,7554.5933,17610,52412
Italy,IT,res,38884.93660499998,.66,0,0,20,.30000001,11665.481,0,33933.309,7554.5933,17610,52412
Italy,IT,c2,4100.8,.3633333333333333,.33700001,8.8900003,20,.76999998,3157.616,43.018349,33933.309,7554.5933,17610,52412
Italy,IT,o1,81,.365,.27399999,37.130001,20,.80000001,64.800003,116.73973,33933.309,7554.5933,17610,52412
Italy,IT,o4,8.6,.34,.27399999,37.130001,20,.74000001,6.3640003,125.32353,33933.309,7554.5933,17610,52412
Italy,IT,o2,1553.020000000001,.4,.27399999,37.130001,20,.79000002,1226.8859,106.525,33933.309,7554.5933,17610,52412
Italy,IT,g3,38720.04289999999,.576,.191,20.23,20,.81,31363.234,41.753471,33933.309,7554.5933,17610,52412
Italy,IT,n,0,1,.029999999,9,20,.83999997,0,9.6000004,33933.309,7554.5933,17610,52412
Italy,IT,g4,271.5599999999999,.36,.191,20.23,20,.74000001,200.95441,66.805557,33933.309,7554.5933,17610,52412
Italy,IT,c1,2483,.3771428571428571,.38499999,7.112,20,.80000001,1986.4,39.274242,33933.309,7554.5933,17610,52412
Italy,IT,g2,1726.78,.388,.191,20.23,20,.79000002,1364.1563,61.984535,33933.309,7554.5933,17610,52412
Italy,IT,r1,9670.005956199999,1,0,12,20,.5,4835.0029,12,33933.309,7554.5933,17610,52412
Lithuania,LT,n,0,1,.029999999,9,20,.83999997,0,9.6000004,1387.4807,259.1564,864.21997,1983.83
Lithuania,LT,g2,170,.38,.191,20.23,20,.79000002,134.3,63.289471,1387.4807,259.1564,864.21997,1983.83
Lithuania,LT,g1,68,.38,.191,20.23,20,.80000001,54.400002,63.289471,1387.4807,259.1564,864.21997,1983.83
Lithuania,LT,o2,1794,.3866666666666667,.27399999,37.130001,20,.79000002,1417.26,110.19828,1387.4807,259.1564,864.21997,1983.83
Lithuania,LT,res,1630.0305,.736,0,0,20,.30000001,489.00916,0,1387.4807,259.1564,864.21997,1983.83
Lithuania,LT,r1,100.8,1,0,12,20,.5,50.400002,12,1387.4807,259.1564,864.21997,1983.83
Lithuania,LT,g3,479,.61,.191,20.23,20,.81,387.98999,39.426228,1387.4807,259.1564,864.21997,1983.83
Luxembourg,LU,res,1629.658,.7266666666666666,0,0,20,.30000001,488.89743,0,459.12469,121.78964,50.282501,815.75
Luxembourg,LU,g3,0,.6,.191,20.23,20,.81,0,40.083332,459.12469,121.78964,50.282501,815.75
Luxembourg,LU,r1,38.61999999999999,1,0,12,20,.5,19.309999,12,459.12469,121.78964,50.282501,815.75
Luxembourg,LU,o4,.8,.34,.27399999,37.130001,20,.74000001,.59200001,125.32353,459.12469,121.78964,50.282501,815.75
Luxembourg,LU,g4,52.95700000000002,.36,.191,20.23,20,.74000001,39.188179,66.805557,459.12469,121.78964,50.282501,815.75
Luxembourg,LU,g1,27.7,.38,.191,20.23,20,.80000001,22.16,63.289471,459.12469,121.78964,50.282501,815.75
Latvia,LV,o4,10,.3600000143051147,.27399999,37.130001,20,.74000001,7.4000001,118.36111,838.45331,174.10175,459,1252
Latvia,LV,g3,1007,.605,.191,20.23,20,.81,815.66998,39.752064,838.45331,174.10175,459,1252
Latvia,LV,c2,0,.48,.33700001,8.8900003,20,.76999998,0,32.5625,838.45331,174.10175,459,1252
Latvia,LV,o2,24,.4,.27399999,37.130001,20,.79000002,18.960001,106.525,838.45331,174.10175,459,1252
Latvia,LV,res,59.7,.6266666666666666,0,0,20,.30000001,17.91,0,838.45331,174.10175,459,1252
Latvia,LV,g2,0,.36,.191,20.23,20,.79000002,0,66.805557,838.45331,174.10175,459,1252
Latvia,LV,r1,1559.9,1,0,12,20,.5,779.95001,12,838.45331,174.10175,459,1252
Netherlands,NL,c2,4684,.41,.33700001,8.8900003,20,.76999998,3606.6799,38.121952,13096.021,2156.8508,8967.25,18836.75
Netherlands,NL,o1,25,.33,.27399999,37.130001,20,.80000001,20,129.12122,13096.021,2156.8508,8967.25,18836.75
Netherlands,NL,g4,73.81100000000001,.36,.191,20.23,20,.74000001,54.62014,66.805557,13096.021,2156.8508,8967.25,18836.75
Netherlands,NL,g2,844.5,.388,.191,20.23,20,.79000002,667.15503,61.984535,13096.021,2156.8508,8967.25,18836.75
